"","compound_name","synonyms","manual_classification","inchikey","smiles"
"4245","salbutamol","['Salbutamol (hemisulfate)', '51022-70-9', 'Albuterol (hemisulfate)', 'AH-3365 (hemisulfate)', 'Salbutamol', 'albuterol', '18559-94-9', 'Proventil', 'Sultanol', 'Volmax', 'Broncovaleas', 'Ventoline', 'Aerolin', 'dl-Salbutamol', 'dl-Albuterol', 'Ventolin Inhaler', 'Ventolin', 'Proventil HFA', 'Buventol', 'Cobutolin', 'Salbulin', 'Salbutamolum', 'Salbuvent', 'Saventol', 'Asmaven', 'Salamol', 'Spreor', 'Asmol', 'Sultanol N', 'Proventil Inhaler', 'Novosalmol', 'Salbuhexal', 'Salbutalan', 'Servitamol', 'Ventiloboi', 'Ventodisks', 'Almotex', 'Anebron', 'Asmadil', 'Asmanil', 'Asmasal', 'Asmatol', 'Asmidon', 'Bronter', 'Bugonol', 'Butamol', 'Butohaler', 'Butotal', 'Butovent', 'Dilatamol', 'Farcolin', 'Gerivent', 'Grafalin', 'Libretin', 'Medolin', 'Parasma', 'Pneumolat', 'Respolin', 'Sabutal', 'Salbetol', 'Salbron', 'Salbupur', 'Salbusian', 'Salbutan', 'Salbutol', 'Salbuven', 'Sallbupp', 'Salmaplon', 'Salomol', 'Salvent', 'Suprasma', 'Theosal', 'Tobybron', 'Vencronyl', 'Ventamol', 'Ventilan', 'Zaperin', 'Bumol', 'Mozal', 'Respax', 'Suxar', 'Asthalin', 'Alti-Salbutamol', 'Broncho-Spray', '4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol', 'Salbu-Fatol', 'Buto-Asma', 'Asmol Uni-Dose', 'Ventolin Rotacaps', 'Salbutamol sulfate', 'Salbu-BASF', 'Volare easi-breathe', 'Arubendol-Salbutamol', 'Volare albuterol HFA', 'Salbutamol Sulphate', 'ALBUTEROL (+/-)', 'AH 3365', '(l)-albuterol', '4-(2-(tert-Butylamino)-1-hydroxyethyl)-2-(hydroxymethyl)phenol', 'Vospire', 'AccuNeb', '2-(tert-Butylamino)-1-(4-hydroxy-3-hydroxymethylphenyl)ethanol', ""alpha-[(tert-Butylamino)methyl]-4-hydroxy-m-xylene-alpha,alpha'-diol"", 'Proventil (TN)', '1219798-60-3', '1-(tert-Butylaminomethyl)-4-hydroxy-m-xylene-alpha1,alpha3-diol', ""alpha'-((tert-Butylamino)methyl)-4-hydroxy-m-xylene-alpha,alpha'-diol"", '4-Hydroxy-3-hydroxymethyl-alpha-((tert-butylamino)methyl)benzyl alcohol', 'Combivent', 'DL-N-tert-Butyl-2-(4-hydroxy-3-hydroxymethylphenyl)-2-hydroxyethylamine', ""alpha(sup 1)-((tert-Butylamino)methyl)-4-hydroxy-m-xylene-alpha,alpha'-diol"", 'CHEBI:2549', 'Airomir', 'Ventalin inhaler', 'SCH-13949W', 'NSC-757417', 'NCGC00015955-09', 'Solbutamol', '(R)-Albuterol;(R)-Salbutamol;Levosalbutamol', 'DSSTox_CID_1255', '1,3-Benzenedimethanol, .alpha.1-[[(1,1-dimethylethyl)amino]methyl]-4-hydroxy-', '4-{2-[(1,1-dimethylethyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol', 'Albuterol (hemisulfate);AH-3365 (hemisulfate)', 'DSSTox_RID_76042', 'DSSTox_GSID_21255', 'Salbutamolum [INN-Latin]', 'Eolene', 'Albuterol (USP)', 'HSDB 7206', 'AH-3365', 'SR-01000075161', 'Albuterol [USAN:USP]', 'EINECS 242-424-0', 'MFCD00148978', 'BRN 2213614', 'Etinoline', 'racemic salbutamol', 'Salamol EB', 'Albuterol-[d3]', 'Prestwick_665', 'CAS-18559-94-9', 'Salbutamol Free Base', 'Salbutamol,(+/-)', 'Venetlin (Salt/Mix)', 'Spectrum_000200', 'Salbutamol [INN:BAN]', 'Prestwick0_000198', 'Prestwick1_000198', 'Prestwick2_000198', 'Prestwick3_000198', 'Spectrum2_001350', 'Spectrum4_000887', 'Spectrum5_001059', ""m-Xylene-alpha,alpha'-diol, alpha-((tert-butylamino)methyl)-4-hydroxy-"", 'CHEMBL714', '1,3-Benzenedimethanol, alpha1-(((1,1-dimethylethyl)amino)methyl)-4-hydroxy-', 'EC 242-424-0', 'S 8260', 'SCHEMBL4913', 'Lopac0_001090', 'Lopac0_001098', 'BSPBio_000155', 'GTPL558', 'KBioGR_001294', 'KBioSS_000680', '35763-26-9', 'DivK1c_000943', 'SPECTRUM1500677', 'SPBio_001539', 'SPBio_002076', 'BPBio1_000171', 'SGCUT00011', 'DTXSID5021255', 'SCHEMBL10025126', 'BCBcMAP01_000116', 'BDBM25769', 'HMS502P05', 'KBio1_000943', 'KBio2_000680', 'KBio2_003248', 'KBio2_005816', 'NINDS_000943', 'Bio1_000446', 'Bio1_000935', 'Bio1_001424', 'HMS1568H17', 'HMS1921C04', 'HMS2089I19', 'HMS2092I08', 'HMS2095H17', 'HMS3712H17', 'HMS3886I08', 'KUC106739N', 'Pharmakon1600-01500677', 'SCH 13949W', '4-[2-(tert-butylamino)-1-hydroxy-ethyl]-2-(hydroxymethyl)phenol', 'AMY38245', 'BCP28423', 'HY-B1037', 'Salbutamol-(tert-butyl-d9) acetate', 'to_000081', 'Tox21_110266', 'Tox21_200800', '4-{2-[(tert-butyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol', 'CCG-39288', 'NSC757417', 'PDSP1_000623', 'PDSP2_000620', 's5494', 'AKOS007930174', ""m-Xylene-alpha,alpha'-diol, alpha'-((tert-butylamino)methyl)-4-hydroxy-"", 'Salbutamol 100 microg/mL in Methanol', 'Tox21_110266_1', 'CS-4556', 'DB01001', 'KS-5209', 'NSC 757417', 'SB19749', 'SDCCGSBI-0051060.P006', '1,3-Benzenedimethanol, alpha(sup 1)-(((1,1-dimethylethyl)amino)methyl)-4-hydroxy-', 'IDI1_000943', 'Salbutamol 1000 microg/mL in Methanol', 'SMP1_000268', 'NCGC00015955-04', 'NCGC00015955-05', 'NCGC00015955-06', 'NCGC00015955-07', 'NCGC00015955-08', 'NCGC00015955-10', 'NCGC00015955-11', 'NCGC00015955-12', 'NCGC00015955-13', 'NCGC00015955-14', 'NCGC00015955-16', 'NCGC00015955-28', 'NCGC00024698-02', 'NCGC00024698-03', 'NCGC00024698-04', 'NCGC00024698-05', 'NCGC00024698-06', 'NCGC00024698-07', 'NCGC00258354-01', 'AC-10286', 'BA164143', 'KSC-11-222-1', 'Salbutamol 100 microg/mL in Acetonitrile', 'SBI-0051060.P005', 'AB00052154', 'EU-0101090', 'FT-0661467', 'FT-0770967', 'VU0243312-5', 'D02147', 'F15026', 'Salbutamol, VETRANAL(TM), analytical standard', 'AB00052154-08', 'AB00052154-09', 'AB00052154_10', 'AB00052154_11', '(+)-5,6-O-CYCLOHEXYLIDENE-L-ASCORBICACID', '559S949', 'A812971', 'L000531', 'Q410358', 'Q-201695', 'Q-201696', 'SR-01000075161-3', 'SR-01000075161-4', 'SR-01000075161-5', 'SR-01000075161-8', 'BRD-A88254928-001-04-6', 'BRD-A88254928-001-05-3', 'SR-01000075161-11', 'Salbutamol, British Pharmacopoeia (BP) Reference Standard', 'Salbutamol, European Pharmacopoeia (EP) Reference Standard', 'Albuterol, United States Pharmacopeia (USP) Reference Standard', '2-(tert-Butylamino)-1-[4-hydroxy-3-(hydroxymethyl)phenyl]ethanol', '4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol #', '4-[2-(tert-butylamino)-1-oxidanyl-ethyl]-2-(hydroxymethyl)phenol', '1-(tert-Butylaminomethyl)-4-hydroxy-m-xylene-.alpha.1,.alpha.3-diol', '4-Hydroxy-3-hydroxymethyl-.alpha.-((tert-butylamino)methyl)benzyl alcohol', "".alpha.'-((tert-Butylamino)methyl)-4-hydroxy-m-xylene-.alpha.,.alpha.'-diol"", "".alpha.1'-[[(1,1-Dimethylethyl)amino]methyl]-4-hydroxy-1,3-benzenedimethanol, hemisulfate"", "".alpha.1-[(tert-Butylamino)methyl]-4-hydroxy-m-xylene-.alpha.,.alpha.'-diol"", '1,3-Benzenedimethanol, .alpha.(1)-[[(1,1-dimethylethyl)amino]methyl]-4-hydroxy-', ""m-Xylene-.alpha.,.alpha.'-diol, .alpha.'-((tert-butylamino)methyl)-4-hydroxy-"", 'm-Xylene-.alpha.,.alpha.-diol, .alpha.-1-((tert-butylamino)methyl)-4-hydroxy-', '148563-15-9']","Medical","NDAUXUAQIAJITI-UHFFFAOYSA-N","CC(C)(C)NCC(O)c1ccc(O)c(CO)c1"
"4246","avibactam","['Avibactam (sodium hydrate)', 'NXL-104 (hydrate)', 'Avibactam', '1192500-31-4', 'Avibactam free acid', 'NXL104', 'AVE-1330A free acid', 'Avibactam (free acid)', 'CHEMBL1689063', 'CHEBI:85984', '[(2S,5R)-2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl] hydrogen sulfate', '396731-14-9', '(2S,5R)-7-oxo-6-(sulfooxy)-1,6-diazabicyclo[3.2.1]octane-2-carboxamide', '(1R,2S,5R)-2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl hydrogen sulfate', 'Avibactam [USAN:INN]', 'Avibactamfreeacid', 'Nxl-104 free acid', 'UNII-7352665165', 'SCHEMBL1666807', 'GTPL10761', 'AMY24028', 'AVI', 'ZINC9302239', 'BDBM50339145', 'CS-0593', 'DB09060', '1,6-Diazabicyclo(3.2.1)octane-2-carboxamide, 7-oxo-6-(sulfooxy)-, (1R,2S,5R)-rel-', 'AC-35749', 'HY-14879', 'E80372', 'Q15410251', 'trans-7-oxo-6-(sulfooxy)-1,6-diazabicyclo[3.2.1]octan-2-carboxamide', 'SULFURIC ACID, MONO[(1R,2S,5R)-2-(AMINOCARBONYL)-7-OXO-1,6-DIAZABICYCLO[3.2.1]OCT-6-YL] ESTER']","Medical",NA,NA
"4247","perillyl_alcohol","['(S)-(−)-Perillyl alcohol', '18457-55-1', '(-)-Perillyl alcohol', '(-)-Perillylalcohol', '(S)-(-)-Perillyl alcohol', '(S)-(4-(Prop-1-en-2-yl)cyclohex-1-en-1-yl)methanol', '(S)-Perillyl alcohol', '[(4S)-4-(prop-1-en-2-yl)cyclohex-1-en-1-yl]methanol', '1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-, (4S)-', 'p-Mentha-1,8-dien-7-ol', '[(4S)-4-prop-1-en-2-ylcyclohexen-1-yl]methanol', '(S)-(?)-Perillyl alcohol', 'Perillic alcohol', '3UL4QIY642', 'CHEBI:10782', 'NSC-641066', '1-Cyclohexene-1-methanol, 4-(1-methylethenyl)', 'Perycorolle', 'Dihydrocuminic alcohol', '(-)-Perilla alcohol', '(S)-p-Mentha-1,8-dien-7-ol', 'FEMA No. 2664', '(S)-(-)-(4-Isopropenyl-1-cyclohexenyl)methanol', 'UNII-3UL4QIY642', '(S)-4-Isopropenyl-1-cyclohexenylmethanol', 'perillyl-alcohol', '(-)-p-Mentha-1,8-dien-7-ol', 'Dl-perillyl alcohol', 'MFCD00062995', '(4S)-perillyl alcohol', 'L-(-)-Perillyl alcohol', 'bmse000559', 'MLS002695966', 'SCHEMBL569985', '(S)-(?)-Perillyl alcohol?', 'CHEMBL236687', 'ZINC3861538', '(S)-(-)-Perillyl alcohol, 96%', 'NSC641066', 'AKOS016843795', 'DB15289', 'LMPR0102090008', 'AS-57413', 'NCI60_013758', 'SMR001562123', '(-)-Perillyl alcohol, analytical standard', 'HY-116514', 'Perllyl alcohol,(reagent / standard grade)', '(S)-(-)-Perillyl alcohol, >=95%, FG', 'CS-0065677', '(4-Isopropenyl-1-cyclohexen-1-yl)methanol #', 'C02452', 'F16807', 'A880768', '(S)-(4-(prop-1-en-2-yl)cyclohex-1-enyl)methanol', 'J-011826', 'J-523912', 'Q-201271', 'Q27108674']","Food, Medical","NDTYTMIUWGWIMO-SNVBAGLBSA-N","C=C(C)C1CC=C(CO)CC1"
"4248","perillyl_alcohol","['Perillyl alcohol', '536-59-4', 'Perilla alcohol', 'Isocarveol', 'Perillol', '1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-', '4-Isopropenylcyclohex-1-en-1-ylmethanol', 'Hydrocumin alcohol', 'p-Mentha-1,8-dien-7-ol', '(4-(Prop-1-en-2-yl)cyclohex-1-en-1-yl)methanol', '4-Isopropenyl-cyclohex-1-ene-1-methanol', 'Dihydrocuminyl alcohol', '4-Isopropenyl-1-cyclohexene carbinol', 'Iso-carveol', '(4-prop-1-en-2-ylcyclohexen-1-yl)methanol', '1-Hydroxymethyl-4-isopropenyl-1-cyclohexene', '4-(1-Methylethenyl)-1-cyclohexene-1-methanol', 'Dihydroperilla alcohol', 'CHEBI:15420', '1,8-p-Menthadien-7-ol', 'Cyclohex-1-ene-1-methanol, 4-(1-methylethenyl)-', '[4-(prop-1-en-2-yl)cyclohex-1-en-1-yl]methanol', 'Para-mentha-1,8-dien-7-ol', 'Perillic alcohol', 'CHEMBL444711', 'FEMA No. 2664', 'Dihydrocuminic alcohol', '(4-(prop-1-en-2-yl)cyclohex-1-enyl)methanol', '100692-55-5', 'NSC 641066', 'EINECS 208-639-9', 'perill alcohol', '1-perillalcohol', 'CCRIS 8461', 'dihydrocuminyl alcoholn', 'l(-)-perillyl alcohol', 'Spectrum2_000838', 'Spectrum3_001974', 'BENCYNOATEHYDROCHLORIDE', 'BSPBio_003574', 'STERCOBILINHYDROCHLORIDE', 'SCHEMBL296111', 'SPECTRUM1505297', 'SPBio_000795', 'DTXSID4052180', 'KBio3_002951', 'HY-N7000', '4-Isopropenyl-1-cyclohexene-methanol', 'BDBM50252404', 'CCG-40267', 'MFCD00001567', 's3853', '4-isopropenyl-cyclohex-1-enylmethanol', 'AKOS006227854', 'CS-W019441', 'SB45076', 'SDCCGMLS-0066882.P001', 'NCGC00095297-01', 'NCGC00095297-02', 'NCGC00095297-03', 'AC-35110', '(4-Isopropenyl-1-cyclohexen-1-yl)methanol', 'DB-065484', 'DB-071728', 'FT-0627990', 'FT-0690515', 'A870664', 'SR-05000002384', 'SR-05000002384-1', 'BRD-A13323580-001-03-0', 'Q15391928', 'F9405E33-6136-4D27-A15E-C10CDC8C9AC4']","Food, Medical","NDTYTMIUWGWIMO-SNVBAGLBSA-N","C=C(C)C1CC=C(CO)CC1"
"4249","oseltamivir_acid","['Oseltamivir acid', '187227-45-8', 'GS 4071', 'Ro 64-0802', 'Oseltamivir carboxylate', 'GS4071', 'Oseltamivir-carboxylate', 'Oseltamivir free acid', 'OSELTAMIVIR HYDROCHLORIDE', 'CHEMBL674', 'GS-4071', 'Ro-64-0802', 'CHEBI:73139', 'K6106LV5Q8', '(3R,4R,5S)-4-acetamido-5-amino-3-pentan-3-yloxycyclohexene-1-carboxylic acid', '(3R,4R,5S)-4-acetamido-5-amino-3-(pentan-3-yloxy)cyclohex-1-ene-1-carboxylic acid', '204255-09-4 (HCl)', '1-Cyclohexene-1-carboxylic acid, 4-(acetylamino)-5-amino-3-(1-ethylpropoxy)-, (3R,4R,5S)-', '(3r,4r,5s)-4-(Acetylamino)-5-Amino-3-(Pentan-3-Yloxy)cyclohex-1-Ene-1-Carboxylic Acid', 'G39', 'Oseltamiviracid', 'UNII-K6106LV5Q8', 'Oseltamivir (acid)', 'Oseltamivir acid, (-)-', 'Oseltamivir Carboxylic Acid', 'SCHEMBL182903', 'BDBM4994', 'DTXSID50171996', 'ZINC3929509', 'AKOS027325283', 'CS-0553', 'DB02600', 'HY-13318', 'RO-640802', 'C90284', 'A907638', 'Q27140336', '(3R,4R,5S)-4-Acetamido-5-amino-3-(1-ethylpropoxy)-1-cyclohex-ene-1-carboxylic acid', '(3R,4R,5S)-4-acetamido-5-amino-3-(1-ethylpropoxy)cyclohexene-1-carboxylic acid', '(3R,4R,5S)-4-acetamido-5-amino-3-(pentan-3-yloxy)cyclohex-1-enecarboxylic acid', '(3r,4r,5s)-4-acetylamino-5-amino-3(1-ethylpropoxy)-1-cyclohexene-1-carboxylic acid', '(3R,4R,5S)-5-amino-4-acetamido-3-(pentan-3-yloxy)cyclohex-1-ene-1-carboxylic acid', '1-Cyclohexene-1-carboxylic acid, 4-(acetylamino)-5-amino-3-(1-ethylpropoxy)-, (3R-(3alpha,4beta,5alpha))-']","Medical",NA,NA
"4250","apabetalone","['Apabetalone', '1044870-39-4', 'RVX-208', 'RVX000222']","Medical","NETXMUIMUZJUTB-UHFFFAOYSA-N","COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1"
"4251","cetylpyridinium","['Cetylpyridinium (chloride monohydrate)', '6004-24-6', 'Hexadecylpyridinium chloride monohydrate', 'CETYLPYRIDINIUM', '1-hexadecylpyridinium', '7773-52-6', '1-hexadecylpyridin-1-ium', 'Ceepryn', 'N-Hexadecylpyridinium', 'Cetylpyridinum', 'CUB7JI0JV3', 'Hexadecylpyridinium', 'CHEBI:32914', 'MLS002695907', 'Pyridinium, 1-hexadecyl-', 'SMR001398783', 'UNII-CUB7JI0JV3', 'BRN 1431415', '1-cetylpyridinium', '5-20-05-00233 (Beilstein Handbook Reference)', '1-Hexadecyl-pyridinium', 'Cetylpyridinium (DCF)', 'Spectrum_000116', 'starbld0000860', 'Spectrum2_000460', 'Spectrum3_000335', 'Spectrum4_000272', 'Spectrum5_000675', 'cid_8816', 'BSPBio_001969', 'KBioGR_000764', 'KBioSS_000556', '1-cetylpyridin-1-ium;bromide', 'DivK1c_000346', 'SCHEMBL122873', 'SPBio_000540', 'CHEMBL305906', 'DTXSID8047979', 'BDBM80992', 'KBio1_000346', 'KBio2_000556', 'KBio2_003124', 'KBio2_005692', 'KBio3_001189', 'NEUSVAOJNUQRTM-UHFFFAOYSA-', 'NINDS_000346', 'ZINC6845963', 'STK177346', 'AKOS005410694', 'DB11073', 'IDI1_000346', 'QTL1_000018', 'NCGC00091023-02', 'NCGC00091023-03', 'NCGC00091023-04', 'NCGC00091023-05', 'SBI-0051276.P003', 'D07666', 'AB00053792_07', 'AB00053792_08', 'BRD-K87700323-003-03-6', 'Q27115152']","Medical","NEUSVAOJNUQRTM-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC[n+]1ccccc1"
"4252","cetylpyridinium","['Cetylpyridinium (chloride monohydrate)', '6004-24-6', 'Hexadecylpyridinium chloride monohydrate', 'CETYLPYRIDINIUM', '1-hexadecylpyridinium', '7773-52-6', '1-hexadecylpyridin-1-ium', 'Ceepryn', 'N-Hexadecylpyridinium', 'Cetylpyridinum', 'CUB7JI0JV3', 'Hexadecylpyridinium', 'CHEBI:32914', 'MLS002695907', 'Pyridinium, 1-hexadecyl-', 'SMR001398783', 'UNII-CUB7JI0JV3', 'BRN 1431415', '1-cetylpyridinium', '5-20-05-00233 (Beilstein Handbook Reference)', '1-Hexadecyl-pyridinium', 'Cetylpyridinium (DCF)', 'Spectrum_000116', 'starbld0000860', 'Spectrum2_000460', 'Spectrum3_000335', 'Spectrum4_000272', 'Spectrum5_000675', 'cid_8816', 'BSPBio_001969', 'KBioGR_000764', 'KBioSS_000556', '1-cetylpyridin-1-ium;bromide', 'DivK1c_000346', 'SCHEMBL122873', 'SPBio_000540', 'CHEMBL305906', 'DTXSID8047979', 'BDBM80992', 'KBio1_000346', 'KBio2_000556', 'KBio2_003124', 'KBio2_005692', 'KBio3_001189', 'NEUSVAOJNUQRTM-UHFFFAOYSA-', 'NINDS_000346', 'ZINC6845963', 'STK177346', 'AKOS005410694', 'DB11073', 'IDI1_000346', 'QTL1_000018', 'NCGC00091023-02', 'NCGC00091023-03', 'NCGC00091023-04', 'NCGC00091023-05', 'SBI-0051276.P003', 'D07666', 'AB00053792_07', 'AB00053792_08', 'BRD-K87700323-003-03-6', 'Q27115152']","Medical","NEUSVAOJNUQRTM-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC[n+]1ccccc1"
"4253","cetylpyridinium","['Cetylpyridinium (chloride monohydrate)', '6004-24-6', 'Hexadecylpyridinium chloride monohydrate', 'CETYLPYRIDINIUM', '1-hexadecylpyridinium', '7773-52-6', '1-hexadecylpyridin-1-ium', 'Ceepryn', 'N-Hexadecylpyridinium', 'Cetylpyridinum', 'CUB7JI0JV3', 'Hexadecylpyridinium', 'CHEBI:32914', 'MLS002695907', 'Pyridinium, 1-hexadecyl-', 'SMR001398783', 'UNII-CUB7JI0JV3', 'BRN 1431415', '1-cetylpyridinium', '5-20-05-00233 (Beilstein Handbook Reference)', '1-Hexadecyl-pyridinium', 'Cetylpyridinium (DCF)', 'Spectrum_000116', 'starbld0000860', 'Spectrum2_000460', 'Spectrum3_000335', 'Spectrum4_000272', 'Spectrum5_000675', 'cid_8816', 'BSPBio_001969', 'KBioGR_000764', 'KBioSS_000556', '1-cetylpyridin-1-ium;bromide', 'DivK1c_000346', 'SCHEMBL122873', 'SPBio_000540', 'CHEMBL305906', 'DTXSID8047979', 'BDBM80992', 'KBio1_000346', 'KBio2_000556', 'KBio2_003124', 'KBio2_005692', 'KBio3_001189', 'NEUSVAOJNUQRTM-UHFFFAOYSA-', 'NINDS_000346', 'ZINC6845963', 'STK177346', 'AKOS005410694', 'DB11073', 'IDI1_000346', 'QTL1_000018', 'NCGC00091023-02', 'NCGC00091023-03', 'NCGC00091023-04', 'NCGC00091023-05', 'SBI-0051276.P003', 'D07666', 'AB00053792_07', 'AB00053792_08', 'BRD-K87700323-003-03-6', 'Q27115152']","Medical","NEUSVAOJNUQRTM-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1"
"4254","lodenafil","['Lodenafil', '139755-85-4', 'Hydroxyhomosildenafil']","Medical","NEYKRKVLEWKOBI-UHFFFAOYSA-N","CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCO)CC4)ccc3OCC)nc12"
"4255","pentagastrin","['Pentagastrin', '5534-95-2', 'ICI-50123', 'AY-6608', 'CHEMBL1328', 'EF0NX91490', 'ICI 50,123', 'DSSTox_CID_28918', 'DSSTox_RID_83185', 'DSSTox_GSID_48992', 'Gastrodiagnost', 'Pentagastrina', 'Pentagastrine', 'Pentagastrinum', 'Petogasrin', 'CAS-5534-95-2', 'ICI 50123', 'Pentagastrine [INN-French]', 'Pentagastrinum [INN-Latin]', 'Pentagastrina [INN-Spanish]', 'UNII-EF0NX91490', 'HSDB 3247', 'NSC-367746', 'Peptavlon (TN)', 'Boc-beta-ala-try-met-asp-phe(nh2)', 'EINECS 226-889-7', 'Pentagastrin [USAN:INN:BAN:JAN]', 'MFCD00076515', 'NSC 367746', 'AY 6608', 'BRN 5472892', 'SCHEMBL26045', 'L-Phenylalaninamide, N-((1,1-dimethylethoxy)carbonyl)-beta-alanyl-L-tryptophyl-L-methionyl-L-alpha-aspartyl-', 'MLS006009992', 'Pentagastrin (JAN/USAN/INN)', 'DTXSID3048992', 'CHEBI:31974', '(3S)-4-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-3-[[(2S)-2-[[(2S)-3-(1H-indol-3-yl)-2-[3-[(2-methylpropan-2-yl)oxycarbonylamino]propanoylamino]propanoyl]amino]-4-methylsulfanylbutanoyl]amino]-4-oxobutanoic acid', 'HY-A0261', 'ZINC8214644', 'Boc-|A-Ala-Trp-Met-Asp-Phe-NH2', 'Boc-beta-Ala-Trp-Met-Asp-Phe-NH2', 'Tox21_113479', 'BDBM50024321', 'AKOS030213248', 'Tox21_113479_1', 'CS-5667', 'DB00183', 'N-t-Butyloxycarbonyl-beta-alanyl-L-tryptophyl-L-methion yl-L-aspartyl-L-phenylalanine amide', 'NCGC00167300-01', 'NCGC00183362-01', 'NCGC00183362-02', 'Alaninamide, N-carboxy-beta-alanyl-L-tryptophyl-L-methionyl-L-aspartylphenyl-, N-tert-butyl ester, L-', 'AS-56396', 'N-(alpha-Carbamoylphenethyl)-3-(2-(2-(3-(carboxyamino)propionamido)-3-indol-3-ylpropionamido)-4-(methylthio)butyramido)succinamic acid N-tert-butyl ester', 'N-(N-(N-(N-(N-tert-Butoxycarbonyl-beta-alanyl)-L-tryptophanyl)-L-methionyl)-L-aspartyl)-L-phenylalaninamide', 'N-Carboxy-beta-alanyl-L-tryptophyl-L-methionyl-L-aspartylphenyl-L-alaninamide N-tert-butyl ester', 'SMR004701067', 'D01631', '534P952', 'Q423586', '(10S,13S,16S)-10-((1H-indol-3-yl)methyl)-16-((S)-1-amino-1-oxo-3-phenylpropan-2-ylcarbamoyl)-2,2-dimethyl-13-(2-(methylthio)ethyl)-4,8,11,14-tetraoxo-3-oxa-5,9,12,15-tetraazaoctadecan-18-oic acid', '3-{2-[2-(3-tert-Butoxycarbonylamino-propionylamino)-3-(1H-indol-3-yl)-propionylamino]-4-methylsulfanyl-butyrylamino}-N-(1-carbamoyl-2-phenyl-ethyl)-succinamic acid', 'Alaninamide, N-carboxy-beta-alanyl-L-tryptophyl-L-methionyl-L-aspartylphenyl-, N-tert-butylester, L-']","Medical","NEYNJQRKHLUJRU-DZUOILHNSA-N","CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O"
